\COMMENT ----------------------------------------------------------------------
\COMMENT This is the results of a Spitzer Heritage Archive (SHA) search.
\COMMENT The SHA is resident at the NASA/IPAC Infrared Science Archive (IRSA)
\COMMENT at the Infrared Processing and Analysis Center (IPAC)
\COMMENT http://irsa.ipac.caltech.edu/applications/Spitzer/SHA/
\COMMENT More information on the Spitzer Space Telescope and the SHA and more 
\COMMENT search options can be found at that site.
\COMMENT Program ID search on spirits10
\COMMENT conducted on Tue Jan 17 17:42:25 PST 2017, by Guest
\COMMENT ----------------------------------------------------------------------
\RowsRetrieved = 578
\ORIGIN = NASA/IPAC Infrared Science Archive (IRSA), Caltech/JPL
\fixlen = T
\primary = 0
\
\ created from statement: select into /hydra/workarea/heritage/temp_files/aorByProgramID4582005289747311881.tbl col targetname, raj2000, decj2000, naifid, modedisplayname, reqkey, reqtitle, reqbegintime, reqendtime, progid, pi from /hydra/workarea/heritage/perm_files/aorByProgramID3401693270593452830.tbl with complete_header
\
|Target_name                             |RA(J2000)     |Dec(J2000)    |NAIF_ID    |Instrument/Mode                                   |AORKEY     |AOR_label                                                                                                                                                                                                                                                      |Observation_start_time |Observation_end_time   |Program_ID |PI                                                |
|char                                    |double        |double        |int        |char                                              |int        |char                                                                                                                                                                                                                                                           |char                   |char                   |int        |char                                              |
 NGC6744                                      287.441250     -63.857694             IRAC Map PC                                        50507776    PGC62836-0                                                                                                                                                                                                                                                      2014-06-24 15:56:39     2014-06-24 17:14:19     10136       Kasliwal, Mansi                                    
 NGC2976                                      146.814583      67.917389             IRAC Map PC                                        50512640    PGC28120-2                                                                                                                                                                                                                                                      2014-06-17 14:00:14     2014-06-17 14:26:08     10136       Kasliwal, Mansi                                    
 ESO494-G026                                  121.546042     -27.528000             IRAC Map PC                                        50519552    PGC22746-2                                                                                                                                                                                                                                                      2014-06-15 14:09:42     2014-06-15 14:35:38     10136       Kasliwal, Mansi                                    
 NGC4236                                      184.175250      69.462528             IRAC Map PC                                        50525696    PGC39346-1                                                                                                                                                                                                                                                      2014-06-23 15:43:38     2014-06-23 17:01:18     10136       Kasliwal, Mansi                                    
 NGC2683                                      133.171667      33.421111             IRAC Map PC                                        50527232    PGC24930-2                                                                                                                                                                                                                                                      2014-06-19 06:19:58     2014-06-19 06:45:53     10136       Kasliwal, Mansi                                    
 NGC2655                                      133.907208      78.223083             IRAC Map PC                                        50528768    PGC25069-2                                                                                                                                                                                                                                                      2014-06-19 04:01:35     2014-06-19 04:27:29     10136       Kasliwal, Mansi                                    
 MESSIER081                                   148.887917      69.065611             IRAC Map PC                                        50571520    PGC28630-2                                                                                                                                                                                                                                                      2014-06-13 21:34:33     2014-06-13 22:52:13     10136       Kasliwal, Mansi                                    
 IC2574                                       157.097833      68.412167             IRAC Map PC                                        50580992    PGC30819-2                                                                                                                                                                                                                                                      2014-06-13 22:53:41     2014-06-14 00:11:23     10136       Kasliwal, Mansi                                    
 NGC2403                                      114.211042      65.602611             IRAC Map PC                                        50587392    PGC21396-1                                                                                                                                                                                                                                                      2014-06-19 09:32:07     2014-06-19 10:49:48     10136       Kasliwal, Mansi                                    
